symbol,strategy,vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_period,atr_stop,max_hold,markov_gate,train_bars,train_trades,train_long_trades,train_short_trades,train_wins,train_losses,train_win_rate,train_gross_total_return,train_net_total_return,train_avg_trade_return_net,train_median_trade_return_net,train_profit_factor,train_sharpe_per_bar,train_max_drawdown,train_exposure,train_trades_per_day,train_fee_to_gross_profit,test_bars,test_trades,test_long_trades,test_short_trades,test_wins,test_losses,test_win_rate,test_gross_total_return,test_net_total_return,test_avg_trade_return_net,test_median_trade_return_net,test_profit_factor,test_sharpe_per_bar,test_max_drawdown,test_exposure,test_trades_per_day,test_fee_to_gross_profit,all_bars,all_trades,all_long_trades,all_short_trades,all_wins,all_losses,all_win_rate,all_gross_total_return,all_net_total_return,all_avg_trade_return_net,all_median_trade_return_net,all_profit_factor,all_sharpe_per_bar,all_max_drawdown,all_exposure,all_trades_per_day,all_fee_to_gross_profit
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,10,off,14112,26,10,16,4,22,0.15384615384615385,0.0025912039220445937,-0.028221901304627428,-0.0010998011502283834,-0.0015702109848537915,1.229858603651547,-21.51441227057044,-0.028221901304627428,0.0021258503401360546,2.653249238182978,2.238329870580477,6048,17,3,14,4,13,0.23529411764705882,0.0033272693117589736,-0.016941398648494754,-0.001002982059329675,-0.001728121112660207,1.3398360437417034,-18.78367301160673,-0.01711115888789494,0.0028108465608465607,4.048288407474781,1.5448746722326914,20160,43,13,30,8,35,0.18604651162790697,0.005927094867093974,-0.04468518147250222,-0.0010615238352219172,-0.0016630249351762482,1.2810113913752057,-19.882883333028115,-0.04468518147250222,0.0023313492063492063,3.071580931593829,1.9009782711424272
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,10,neutral_only,14112,4,1,3,1,3,0.25,0.0032616106729534966,-0.0015414839993769247,-0.0003845877410266141,-0.0008072041378546435,4.796479956341852,-3.193488258335473,-0.0033515334073475067,0.0002834467120181406,0.4081921904896889,1.1648298383963314,6048,4,0,4,0,4,0.0,-0.0028657438559723802,-0.007646803206438069,-0.0019171163258018475,-0.0017563281589544554,0.0,-18.206256898187362,-0.007646803206438069,0.0006613756613756613,0.9525384488175956,inf,20160,8,1,7,1,7,0.125,0.0003865198762347255,-0.00917649978102586,-0.0011508520334142305,-0.001624385589928744,1.1054793448039069,-9.582740663588165,-0.00917649978102586,0.0003968253968253968,0.5714569175058287,2.3296596767926627
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,10,contrarian_ok,14112,6,1,5,1,5,0.16666666666666666,0.0034045084443992124,-0.0037943039124372913,-0.0006326182116844054,-0.0010927937140618115,3.7235611611153687,-6.796472734037681,-0.0056002693096206535,0.00042517006802721087,0.6122882857345333,1.5469792729884864,6048,5,0,5,1,4,0.2,2.4173474121091942e-05,-0.005961566288166575,-0.0011940484817321005,-0.001728121112660207,1.0103740461166544,-13.0083810193893,-0.005961566288166575,0.0008267195767195767,1.1906730610219944,2.070234146341615,20160,11,1,10,2,9,0.18181818181818182,0.003428764217317415,-0.009733250206312438,-0.0008878137889788123,-0.001520650067197281,1.8338294179885746,-9.115574145171596,-0.009733250206312438,0.0005456349206349206,0.7857532615705144,1.7477761438550936
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,20,off,14112,26,10,16,5,21,0.19230769230769232,-0.0007458383431961924,-0.03146026755705755,-0.0012279213692752975,-0.0017377015595867117,0.94855185583781,-21.856745498328,-0.03275074051697069,0.0021258503401360546,2.653249238182978,2.3310584805043346,6048,17,3,14,5,12,0.29411764705882354,0.008616260828140154,-0.011753030618463778,-0.0006926865801570426,-0.001728121112660207,1.8750643974347065,-11.326054606167633,-0.013843427404965136,0.0028108465608465607,4.048288407474781,1.1038974297377897,20160,43,13,30,10,33,0.23255813953488372,0.007863996147243535,-0.04284354468765772,-0.001016316917763429,-0.0017353241814939346,1.3295646010202744,-16.945133548574212,-0.0443925969569271,0.0023313492063492063,3.071580931593829,1.6193592313598237
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,20,neutral_only,14112,4,1,3,2,2,0.5,0.004694221367553597,-0.00011402083381417683,-2.7205081666419268e-05,-9.243881913425394e-05,6.460418765298869,-0.20579759599176983,-0.003256481264908073,0.0002834467120181406,0.4081921904896889,0.8648174639122568,6048,4,0,4,0,4,0.0,-0.0028657438559723802,-0.007646803206438069,-0.0019171163258018475,-0.0017563281589544554,0.0,-18.206256898187362,-0.007646803206438069,0.0006613756613756613,0.9525384488175956,inf,20160,8,1,7,2,6,0.25,0.0018150250755384345,-0.007759952145374616,-0.0009721607037341333,-0.001624385589928744,1.488979328346525,-7.812317216506268,-0.009082003176022257,0.0003968253968253968,0.5714569175058287,1.7296349278245136
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,0.8,20,contrarian_ok,14112,6,1,5,2,4,0.3333333333333333,0.004837323190338916,-0.002370061529103351,-0.00039436310544427555,-0.0010927937140618115,4.867239663239048,-3.9465543063916906,-0.005505431633136437,0.00042517006802721087,0.6122882857345333,1.183478179933526,6048,5,0,5,1,4,0.2,0.0002892823685154422,-0.005697728537903846,-0.0011408743193239688,-0.001728121112660207,1.1030615231948584,-12.110987508064927,-0.0058727481269735815,0.0008267195767195767,1.1906730610219944,1.8962775936465424,20160,11,1,10,3,8,0.2727272727272727,0.0051280049111643855,-0.008054286099796193,-0.0007336863844804998,-0.001520650067197281,2.245493865205929,-7.209536896246742,-0.009375944962733307,0.0005456349206349206,0.7857532615705144,1.4273578558034348
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,1.2,10,off,14112,26,10,16,4,22,0.15384615384615385,-0.002201817114511284,-0.0328731913071143,-0.001283883087724441,-0.001701488318873422,0.8652944334820454,-21.57271360477441,-0.0328731913071143,0.0021258503401360546,2.653249238182978,2.2270423228745875,6048,16,3,13,4,12,0.25,0.001381115002111688,-0.017671739833258204,-0.0011116369918541466,-0.0019175500245808485,1.1136404235025241,-17.780901238641654,-0.017671739833258204,0.0028108465608465607,3.8101537952703826,1.385793789286117,20160,42,13,29,8,34,0.19047619047619047,-0.0008237430750475117,-0.0499640046561044,-0.0012182655273929002,-0.0017553164772807983,0.9732061399853871,-19.685681479036397,-0.0499640046561044,0.0023313492063492063,3.0001488169056008,1.808753870460988
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,1.2,10,neutral_only,14112,4,1,3,1,3,0.25,0.0037144689484263083,-0.0010902520774949132,-0.0002717866333297947,-0.000612357201456436,8.758250699924085,-2.438901308846288,-0.002901119498492588,0.0002834467120181406,0.4081921904896889,1.1451961114717417,6048,4,0,4,0,4,0.0,-0.004296575883943721,-0.009072486349869124,-0.002275674488702771,-0.002034492238431683,0.0,-17.95566821948411,-0.009072486349869124,0.0006613756613756613,0.9525384488175956,inf,20160,8,1,7,1,7,0.125,-0.0005980664332227992,-0.01015284713027309,-0.0012737305610162827,-0.001679771740242385,0.8766342540104529,-9.540081847840478,-0.01015284713027309,0.0003968253968253968,0.5714569175058287,2.2903922229434834
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,1.2,10,contrarian_ok,14112,6,1,5,1,5,0.16666666666666666,0.003661192522631529,-0.003539155186397247,-0.0005899855119145284,-0.000897946777663604,4.437369203791512,-6.503549269796003,-0.005345583128386622,0.00042517006802721087,0.6122882857345333,1.523848223199435,6048,5,0,5,1,4,0.2,-0.0014108054239917456,-0.007389670559352135,-0.0014808950120528395,-0.001992181668990421,0.6735826974111029,-13.744055179544633,-0.007389670559352135,0.0008267195767195767,1.1906730610219944,2.070234146341615,20160,11,1,10,2,9,0.18181818181818182,0.002245221868370395,-0.010902672554863546,-0.0009949443756137608,-0.0016785683796886263,1.420235796430776,-9.28002688550597,-0.010902672554863546,0.0005456349206349206,0.7857532615705144,1.7315783578489674
ETHUSDT,vwap_volume_rsi_reversion,120,240,1.0,30,65,1.2,14,1.2,20,off,14112,26,10,16,5,21,0.19230769230769232,-0.005816862021960745,-0.036381321291497404,-0.0014232829641187886,-0.0019487618375026092,0.7148019888344044,-21.704304538183525,-0.03766523748707162,0.0021258503401360546,2.653249238182978,2.1443042068978793,6048,16,3,13,5,11,0.3125,0.004966962125947383,-0.014149906279942281,-0.0008871217031220235,-0.001967086250409665,1.371536336280351,-12.39473215907628,-0.015140737225044276,0.0028108465608465607,3.8101537952703826,1.0389622868120374,20160,42,13,29,10,32,0.23809523809523808,-0.0008787920293683582,-0.050016435284824245,-0.00121903105516764,-0.001967086250409665,0.976372534436596,-17.536374637066903,-0.05128218418655972,0.0023313492063492063,3.0001488169056008,1.5258785310440468
