vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
90,180,1.5,25,70,1.0,0.8,20,-14.541292,4,-0.005359,-0.005359,0.25,no_go
90,240,1.5,25,70,1.0,0.8,20,-14.541292,4,-0.005359,-0.005359,0.25,no_go
120,180,1.5,25,70,1.0,0.8,20,-14.541292,4,-0.005359,-0.005359,0.25,no_go
120,240,1.5,25,70,1.0,0.8,20,-14.541292,4,-0.005359,-0.005359,0.25,no_go
90,180,1.5,25,70,1.0,0.8,15,-15.989911,4,-0.005843,-0.005843,0.0,no_go
90,240,1.5,25,70,1.0,0.8,15,-15.989911,4,-0.005843,-0.005843,0.0,no_go
120,180,1.5,25,70,1.0,0.8,15,-15.989911,4,-0.005843,-0.005843,0.0,no_go
120,240,1.5,25,70,1.0,0.8,15,-15.989911,4,-0.005843,-0.005843,0.0,no_go
90,180,1.5,30,70,1.0,0.8,20,-16.049263,8,-0.008402,-0.008402,0.25,no_go
90,240,1.5,30,70,1.0,0.8,20,-16.049263,8,-0.008402,-0.008402,0.25,no_go
120,180,1.5,30,70,1.0,0.8,20,-16.049263,8,-0.008402,-0.008402,0.25,no_go
120,240,1.5,30,70,1.0,0.8,20,-16.049263,8,-0.008402,-0.008402,0.25,no_go
90,180,1.5,30,70,1.0,0.8,15,-16.784882,8,-0.008807,-0.008807,0.125,no_go
90,240,1.5,30,70,1.0,0.8,15,-16.784882,8,-0.008807,-0.008807,0.125,no_go
120,180,1.5,30,70,1.0,0.8,15,-16.784882,8,-0.008807,-0.008807,0.125,no_go
120,240,1.5,30,70,1.0,0.8,15,-16.784882,8,-0.008807,-0.008807,0.125,no_go
60,180,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
60,180,1.5,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
60,240,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
60,240,1.5,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
90,180,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
90,240,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
120,180,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
120,240,1.0,25,70,1.0,0.8,20,-17.231683,5,-0.007225,-0.007225,0.2,no_go
60,180,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
60,180,1.5,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
60,240,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
60,240,1.5,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
90,180,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
90,240,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
120,180,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
120,240,1.0,30,70,1.0,0.8,20,-18.324675,9,-0.010262,-0.010262,0.2222,no_go
60,180,1.0,25,70,1.0,0.8,15,-18.505633,5,-0.007708,-0.007708,0.0,no_go
60,180,1.5,25,70,1.0,0.8,15,-18.505633,5,-0.007708,-0.007708,0.0,no_go
60,240,1.0,25,70,1.0,0.8,15,-18.505633,5,-0.007708,-0.007708,0.0,no_go
60,240,1.5,25,70,1.0,0.8,15,-18.505633,5,-0.007708,-0.007708,0.0,no_go
