stage,z_window,z_threshold,rsi_percentile,rsi_lookback,hold,stop_atr,entry_type,use_volume,vol_window,vol_threshold,trades,wins,losses,win_rate,gross_total_return,net_total_return,avg_trade_return_net,sharpe_per_bar,max_drawdown,exposure,gate
2,360,3.0,5,50,10,1.5,and,True,20,1.0,42,11,31,0.2619047619047619,0.027345585650065285,-0.02314750837727375,-0.0005548272140388879,-7.777783743099049,-0.024816428449354055,0.01423611111111111,no_go
2,360,3.0,5,30,10,1.5,and,True,20,1.0,46,13,33,0.2826086956521739,0.031881334291066654,-0.023530648982454494,-0.0005150412533664729,-7.803619821432633,-0.02580999244464932,0.01711309523809524,no_go
2,360,3.0,5,30,20,1.5,and,True,20,1.0,46,15,31,0.32608695652173914,0.030196194013649702,-0.025127220245016124,-0.0005504124483200856,-8.0357401306663,-0.02914060804035845,0.029563492063492063,no_go
2,360,3.0,5,50,20,1.5,and,True,20,1.0,42,13,29,0.30952380952380953,0.025732722183684276,-0.024682939401633797,-0.000592293284874164,-8.323786723145227,-0.027325725512228782,0.024553571428571428,no_go
2,360,3.0,5,50,10,1.0,and,True,20,1.0,42,10,32,0.23809523809523808,0.025958586808578765,-0.024467912410259696,-0.0005871663476921989,-8.436245545732538,-0.02613457661585783,0.011954365079365079,no_go
2,360,3.0,5,50,10,0.8,and,True,20,1.0,43,9,34,0.20930232558139536,0.027576598969895283,-0.024100059050047085,-0.0005648611039313887,-8.503511918827085,-0.025767351720906606,0.011805555555555555,no_go
2,360,3.0,5,30,15,1.5,and,True,20,1.0,46,14,32,0.30434782608695654,0.029373685530416083,-0.025906477745403333,-0.0005680641016076451,-8.71755301892346,-0.02827986981641928,0.023759920634920634,no_go
2,360,3.0,5,50,25,1.5,and,True,20,1.0,42,13,29,0.30952380952380953,0.023944333297525544,-0.026385470791976062,-0.0006337987394909843,-8.761489038790218,-0.029683220047105663,0.029166666666666667,no_go
2,360,3.0,5,50,10,0.5,and,True,20,1.0,46,9,37,0.1956521739130435,0.030878924233912253,-0.024480343278766803,-0.0005366422978440002,-8.93064779342409,-0.024480343278766803,0.011061507936507937,no_go
1,360,3.0,5,50,10,1.5,and,True,20,1.5,40,9,31,0.225,0.02149038822213134,-0.026386313776448733,-0.0006657476633803242,-9.13047602063505,-0.028049700456961202,0.013541666666666667,no_go
