vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,test_sharpe,test_trades,test_net_return,test_max_drawdown,test_win_rate,gate
60,360,2.5,35,65,1.0,0.8,25,11.87238,11,0.017036,-0.003571,0.6364,go
65,330,2.5,35,65,1.0,0.8,25,11.87238,11,0.017036,-0.003571,0.6364,go
65,360,2.5,35,65,1.0,0.8,25,11.87238,11,0.017036,-0.003571,0.6364,go
60,360,2.5,35,65,1.0,0.8,20,11.706337,11,0.014173,-0.003571,0.6364,go
65,330,2.5,35,65,1.0,0.8,20,11.706337,11,0.014173,-0.003571,0.6364,go
65,360,2.5,35,65,1.0,0.8,20,11.706337,11,0.014173,-0.003571,0.6364,go
60,360,2.5,35,65,1.0,0.8,22,11.606386,11,0.015184,-0.003571,0.6364,go
65,330,2.5,35,65,1.0,0.8,22,11.606386,11,0.015184,-0.003571,0.6364,go
65,360,2.5,35,65,1.0,0.8,22,11.606386,11,0.015184,-0.003571,0.6364,go
50,360,2.5,32,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
50,360,2.5,35,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
50,360,2.5,38,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
50,390,2.5,32,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
50,390,2.5,35,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
50,390,2.5,38,65,1.0,0.8,25,11.579804,9,0.016114,-0.003571,0.6667,no_go
60,390,2.5,35,65,1.0,0.8,25,11.338321,8,0.015803,-0.003571,0.625,no_go
60,390,2.5,35,68,1.0,0.8,25,11.338321,8,0.015803,-0.003571,0.625,no_go
65,390,2.5,35,65,1.0,0.8,25,11.338321,8,0.015803,-0.003571,0.625,no_go
65,390,2.5,35,68,1.0,0.8,25,11.338321,8,0.015803,-0.003571,0.625,no_go
50,360,2.5,32,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,360,2.5,35,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,360,2.5,38,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,390,2.5,32,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,390,2.5,35,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,390,2.5,38,65,1.0,0.8,20,11.309644,9,0.013043,-0.003571,0.6667,no_go
50,360,2.5,32,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
50,360,2.5,35,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
50,360,2.5,38,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
50,390,2.5,32,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
50,390,2.5,35,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
50,390,2.5,38,65,1.0,0.8,22,11.297706,9,0.014234,-0.003571,0.6667,no_go
60,390,2.5,35,65,1.0,0.8,22,10.910998,8,0.013752,-0.003571,0.625,no_go
60,390,2.5,35,68,1.0,0.8,22,10.910998,8,0.013752,-0.003571,0.625,no_go
65,390,2.5,35,65,1.0,0.8,22,10.910998,8,0.013752,-0.003571,0.625,no_go
65,390,2.5,35,68,1.0,0.8,22,10.910998,8,0.013752,-0.003571,0.625,no_go
60,360,2.5,35,68,1.0,0.8,25,10.614678,10,0.015043,-0.003571,0.6,go
65,330,2.5,35,68,1.0,0.8,25,10.614678,10,0.015043,-0.003571,0.6,go
65,360,2.5,35,68,1.0,0.8,25,10.614678,10,0.015043,-0.003571,0.6,go
60,390,2.5,35,65,1.0,0.8,20,10.423806,8,0.011909,-0.003571,0.625,no_go
60,390,2.5,35,68,1.0,0.8,20,10.423806,8,0.011909,-0.003571,0.625,no_go
65,390,2.5,35,65,1.0,0.8,20,10.423806,8,0.011909,-0.003571,0.625,no_go
65,390,2.5,35,68,1.0,0.8,20,10.423806,8,0.011909,-0.003571,0.625,no_go
50,360,2.5,32,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
50,360,2.5,35,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
50,360,2.5,38,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
50,390,2.5,32,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
50,390,2.5,35,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
50,390,2.5,38,68,1.0,0.8,25,10.283297,8,0.014122,-0.003571,0.625,no_go
60,360,2.5,35,68,1.0,0.8,20,10.236533,10,0.012185,-0.003571,0.6,go
65,330,2.5,35,68,1.0,0.8,20,10.236533,10,0.012185,-0.003571,0.6,go
65,360,2.5,35,68,1.0,0.8,20,10.236533,10,0.012185,-0.003571,0.6,go
60,360,2.5,35,68,1.0,0.8,22,10.235034,10,0.013194,-0.003571,0.6,go
65,330,2.5,35,68,1.0,0.8,22,10.235034,10,0.013194,-0.003571,0.6,go
65,360,2.5,35,68,1.0,0.8,22,10.235034,10,0.013194,-0.003571,0.6,go
60,330,2.5,32,65,1.0,0.8,25,10.196937,10,0.0143,-0.003571,0.6,go
60,330,2.5,35,65,1.0,0.8,25,10.196937,10,0.0143,-0.003571,0.6,go
60,360,2.5,32,65,1.0,0.8,25,10.196937,10,0.0143,-0.003571,0.6,go
65,330,2.5,32,65,1.0,0.8,25,10.196937,10,0.0143,-0.003571,0.6,go
65,360,2.5,32,65,1.0,0.8,25,10.196937,10,0.0143,-0.003571,0.6,go
50,360,2.5,32,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,360,2.5,35,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,360,2.5,38,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,390,2.5,32,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,390,2.5,35,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,390,2.5,38,68,1.0,0.8,22,9.874653,8,0.012246,-0.003571,0.625,no_go
50,360,2.5,32,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
50,360,2.5,35,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
50,360,2.5,38,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
50,390,2.5,32,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
50,390,2.5,35,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
50,390,2.5,38,68,1.0,0.8,20,9.767823,8,0.011058,-0.003571,0.625,no_go
60,330,2.5,32,65,1.0,0.8,22,9.765277,10,0.012424,-0.003571,0.6,go
60,330,2.5,35,65,1.0,0.8,22,9.765277,10,0.012424,-0.003571,0.6,go
60,360,2.5,32,65,1.0,0.8,22,9.765277,10,0.012424,-0.003571,0.6,go
65,330,2.5,32,65,1.0,0.8,22,9.765277,10,0.012424,-0.003571,0.6,go
65,360,2.5,32,65,1.0,0.8,22,9.765277,10,0.012424,-0.003571,0.6,go
60,330,2.5,32,65,1.0,0.8,20,9.62657,10,0.011236,-0.003571,0.6,go
60,330,2.5,35,65,1.0,0.8,20,9.62657,10,0.011236,-0.003571,0.6,go
60,360,2.5,32,65,1.0,0.8,20,9.62657,10,0.011236,-0.003571,0.6,go
65,330,2.5,32,65,1.0,0.8,20,9.62657,10,0.011236,-0.003571,0.6,go
65,360,2.5,32,65,1.0,0.8,20,9.62657,10,0.011236,-0.003571,0.6,go
60,390,2.5,32,65,1.0,0.8,25,9.608105,7,0.01307,-0.003571,0.5714,no_go
60,390,2.5,32,68,1.0,0.8,25,9.608105,7,0.01307,-0.003571,0.5714,no_go
65,390,2.5,32,65,1.0,0.8,25,9.608105,7,0.01307,-0.003571,0.5714,no_go
65,390,2.5,32,68,1.0,0.8,25,9.608105,7,0.01307,-0.003571,0.5714,no_go
50,390,2.5,32,62,1.0,0.8,25,9.353049,10,0.013278,-0.005419,0.6,go
50,390,2.5,35,62,1.0,0.8,25,9.353049,10,0.013278,-0.005419,0.6,go
50,390,2.5,38,62,1.0,0.8,25,9.353049,10,0.013278,-0.005419,0.6,go
50,330,2.5,32,65,1.0,0.8,25,9.305288,9,0.012968,-0.003571,0.5556,no_go
50,330,2.5,35,65,1.0,0.8,25,9.305288,9,0.012968,-0.003571,0.5556,no_go
