vwap_window,z_window,z_threshold,rsi_long,rsi_short,volume_multiple,atr_stop,max_hold,markov_gate,train_trades,test_trades,test_sharpe,test_net_return,test_max_drawdown,test_win_rate,train_sharpe,gate
60,360,2.5,35,75,1.0,0.8,20,off,1,4,17.447978,0.013938,0.0,1.0,-6.103076,no_go
60,360,2.5,35,75,1.0,1.2,20,off,1,4,17.447978,0.013938,0.0,1.0,-6.103076,no_go
60,360,2.5,35,75,1.2,0.8,20,off,1,4,17.447978,0.013938,0.0,1.0,-6.103076,no_go
60,360,2.5,35,75,1.2,1.2,20,off,1,4,17.447978,0.013938,0.0,1.0,-6.103076,no_go
90,240,2.5,40,75,1.0,1.2,20,off,3,4,16.870306,0.013059,0.0,1.0,-8.646891,no_go
90,240,2.5,35,75,1.0,0.8,20,off,0,3,15.28605,0.011573,0.0,1.0,0.0,no_go
90,240,2.5,35,75,1.0,1.2,20,off,0,3,15.28605,0.011573,0.0,1.0,0.0,no_go
90,240,2.5,35,75,1.2,0.8,20,off,0,3,15.28605,0.011573,0.0,1.0,0.0,no_go
90,240,2.5,35,75,1.2,1.2,20,off,0,3,15.28605,0.011573,0.0,1.0,0.0,no_go
90,240,2.5,40,75,1.2,0.8,20,off,3,3,15.28605,0.011573,0.0,1.0,-8.851848,no_go
90,240,2.5,40,75,1.2,1.2,20,off,3,3,15.28605,0.011573,0.0,1.0,-8.646891,no_go
90,360,2.5,35,75,1.0,0.8,20,off,3,3,15.28605,0.011573,0.0,1.0,-5.748835,no_go
90,360,2.5,35,75,1.0,1.2,20,off,3,3,15.28605,0.011573,0.0,1.0,-6.325071,no_go
90,360,2.5,35,75,1.2,0.8,20,off,3,3,15.28605,0.011573,0.0,1.0,-5.748835,no_go
90,360,2.5,35,75,1.2,1.2,20,off,3,3,15.28605,0.011573,0.0,1.0,-6.325071,no_go
60,360,2.5,35,70,1.0,0.8,20,off,3,8,14.880793,0.016955,-0.003571,0.75,-10.533056,no_go
90,360,2.5,40,75,1.2,0.8,20,off,4,5,13.994266,0.011471,-0.002118,0.8,-6.595308,no_go
90,360,2.5,40,75,1.2,1.2,20,off,4,5,13.189871,0.011006,-0.002577,0.8,-7.025682,no_go
90,360,2.5,35,70,1.0,0.8,20,off,5,7,13.143312,0.014583,-0.003571,0.7143,-10.012352,no_go
60,360,2.5,35,70,1.0,1.2,20,off,3,8,12.953897,0.015447,-0.004756,0.75,-10.516241,no_go
60,360,2.5,40,75,1.2,0.8,20,off,3,5,12.858728,0.011003,-0.002895,0.8,-7.171817,no_go
60,360,2.5,40,75,1.0,1.2,20,off,3,6,12.822156,0.011627,-0.003742,0.8333,-6.968428,no_go
90,360,2.5,40,75,1.0,1.2,20,off,4,5,12.73114,0.010448,-0.002577,0.8,-7.025682,no_go
60,240,2.5,40,75,1.0,1.2,20,off,2,2,12.513957,0.004403,0.0,1.0,-7.536895,no_go
60,360,2.5,35,65,1.0,0.8,20,off,4,11,11.706337,0.014173,-0.003571,0.6364,-12.156636,go
60,360,2.5,35,70,1.2,0.8,20,off,3,7,11.660833,0.010989,-0.003571,0.7143,-10.533056,no_go
60,360,2.5,40,75,1.2,1.2,20,off,3,5,11.371304,0.010144,-0.003742,0.8,-6.968428,no_go
90,240,2.5,35,70,1.0,0.8,20,off,2,6,11.246661,0.012099,-0.003571,0.6667,-8.62615,no_go
90,360,2.5,35,70,1.0,1.2,20,off,5,7,11.23886,0.013079,-0.004756,0.7143,-10.456136,no_go
120,360,2.5,40,75,1.0,1.2,20,off,12,5,11.107793,0.009528,-0.003485,0.8,-13.243651,no_go
60,240,2.5,40,75,1.0,1.2,10,off,2,2,10.977148,0.00189,0.0,1.0,-7.161695,no_go
120,240,2.5,35,75,1.0,0.8,20,off,3,4,10.886679,0.008818,-0.002724,0.75,-10.484678,no_go
120,240,2.5,35,75,1.2,0.8,20,off,3,4,10.886679,0.008818,-0.002724,0.75,-10.484678,no_go
120,240,2.5,40,75,1.0,0.8,20,off,4,4,10.886679,0.008818,-0.002724,0.75,-11.225725,no_go
120,240,2.5,40,75,1.2,0.8,20,off,4,4,10.886679,0.008818,-0.002724,0.75,-11.225725,no_go
120,360,2.5,35,75,1.0,0.8,20,off,10,4,10.886679,0.008818,-0.002724,0.75,-13.966178,no_go
120,360,2.5,35,75,1.2,0.8,20,off,10,4,10.886679,0.008818,-0.002724,0.75,-13.966178,no_go
120,360,2.5,40,75,1.2,0.8,20,off,13,4,10.886679,0.008818,-0.002724,0.75,-15.632468,no_go
60,240,2.0,35,75,1.0,0.8,20,off,10,7,10.672823,0.009305,-0.002724,0.7143,-16.800945,no_go
60,240,2.0,35,75,1.2,0.8,20,off,10,7,10.672823,0.009305,-0.002724,0.7143,-16.800945,no_go
60,360,1.5,35,75,1.2,0.8,20,off,33,7,10.672823,0.009305,-0.002724,0.7143,-19.312578,no_go
60,360,2.0,35,75,1.0,0.8,20,off,15,7,10.672823,0.009305,-0.002724,0.7143,-18.827989,no_go
60,360,2.0,35,75,1.2,0.8,20,off,15,7,10.672823,0.009305,-0.002724,0.7143,-18.827989,no_go
90,240,2.0,35,75,1.0,0.8,20,off,22,7,10.672823,0.009305,-0.002724,0.7143,-21.519378,no_go
90,240,2.0,35,75,1.2,0.8,20,off,22,7,10.672823,0.009305,-0.002724,0.7143,-21.519378,no_go
90,360,2.0,35,75,1.0,0.8,20,off,20,7,10.672823,0.009305,-0.002724,0.7143,-18.150369,no_go
90,360,2.0,35,75,1.2,0.8,20,off,20,7,10.672823,0.009305,-0.002724,0.7143,-18.150369,no_go
120,360,2.0,35,75,1.0,1.2,20,off,21,8,10.671372,0.009928,-0.003485,0.75,-14.793915,no_go
120,360,2.0,35,75,1.2,1.2,20,off,21,8,10.671372,0.009928,-0.003485,0.75,-14.793915,no_go
90,240,2.5,40,75,1.0,0.8,20,off,3,4,10.623016,0.008666,-0.002874,0.75,-8.851848,no_go
90,240,2.5,40,70,1.0,1.2,20,off,5,7,10.566399,0.012084,-0.004756,0.7143,-11.47415,no_go
60,360,2.5,40,70,1.0,1.2,20,off,5,10,10.378019,0.013134,-0.004756,0.7,-11.079417,go
60,360,1.5,35,75,1.0,0.8,20,off,33,8,10.376332,0.009049,-0.002724,0.625,-19.312578,no_go
60,360,2.0,35,70,1.0,0.8,20,off,17,11,10.34761,0.012308,-0.003571,0.6364,-20.687659,go
90,240,2.0,35,70,1.0,0.8,20,off,24,11,10.34761,0.012308,-0.003571,0.6364,-23.174385,go
90,360,2.0,35,70,1.0,0.8,20,off,22,11,10.34761,0.012308,-0.003571,0.6364,-20.010984,go
120,240,2.5,35,70,1.0,0.8,20,off,5,8,10.324787,0.011819,-0.003571,0.625,-13.577863,no_go
120,240,2.5,40,70,1.0,0.8,20,off,6,8,10.324787,0.011819,-0.003571,0.625,-14.155489,no_go
120,360,2.5,35,70,1.0,0.8,20,off,12,8,10.324787,0.011819,-0.003571,0.625,-16.313973,no_go
90,360,2.5,40,70,1.0,1.2,20,off,6,9,9.919477,0.011953,-0.004756,0.6667,-10.973321,no_go
90,360,2.5,40,75,1.0,0.8,20,off,4,6,9.802493,0.008565,-0.002874,0.6667,-6.595308,no_go
180,360,2.5,35,75,1.0,0.8,20,off,17,5,9.731395,0.007835,-0.001889,0.6,-17.229232,no_go
180,360,2.5,35,75,1.2,0.8,20,off,17,5,9.731395,0.007835,-0.001889,0.6,-17.229232,no_go
90,360,2.5,40,70,1.0,0.8,20,off,6,10,9.715301,0.011566,-0.003899,0.6,-10.636406,go
120,240,2.5,35,75,1.0,1.2,20,off,3,4,9.555551,0.008047,-0.003485,0.75,-10.444139,no_go
120,240,2.5,35,75,1.2,1.2,20,off,3,4,9.555551,0.008047,-0.003485,0.75,-10.444139,no_go
120,240,2.5,40,75,1.0,1.2,20,off,4,4,9.555551,0.008047,-0.003485,0.75,-11.059609,no_go
120,240,2.5,40,75,1.2,1.2,20,off,4,4,9.555551,0.008047,-0.003485,0.75,-11.059609,no_go
120,360,2.5,35,75,1.0,1.2,20,off,9,4,9.555551,0.008047,-0.003485,0.75,-11.34667,no_go
120,360,2.5,35,75,1.2,1.2,20,off,9,4,9.555551,0.008047,-0.003485,0.75,-11.34667,no_go
120,360,2.5,40,75,1.2,1.2,20,off,12,4,9.555551,0.008047,-0.003485,0.75,-13.243651,no_go
90,360,2.5,35,70,1.2,0.8,20,off,5,6,9.519244,0.008631,-0.003571,0.6667,-10.012352,no_go
180,360,2.5,35,70,1.0,0.8,20,off,19,9,9.496621,0.010834,-0.003591,0.5556,-19.199897,no_go
60,360,2.5,35,70,1.2,1.2,20,off,3,7,9.436972,0.00949,-0.004756,0.7143,-10.516241,no_go
90,240,2.5,35,70,1.0,1.2,20,off,2,6,9.36955,0.010599,-0.004756,0.6667,-8.623675,no_go
60,120,2.0,30,75,1.0,0.8,10,off,2,1,9.323043,0.001574,0.0,1.0,-7.414357,no_go
60,120,2.0,30,75,1.0,0.8,20,off,2,1,9.323043,0.002929,0.0,1.0,-7.414357,no_go
60,120,2.0,30,75,1.0,1.2,10,off,2,1,9.323043,0.001574,0.0,1.0,-7.570029,no_go
60,120,2.0,30,75,1.0,1.2,20,off,2,1,9.323043,0.002929,0.0,1.0,-7.570029,no_go
60,120,2.0,30,75,1.2,0.8,10,off,2,1,9.323043,0.001574,0.0,1.0,-7.414357,no_go
60,120,2.0,30,75,1.2,0.8,20,off,2,1,9.323043,0.002929,0.0,1.0,-7.414357,no_go
60,120,2.0,30,75,1.2,1.2,10,off,2,1,9.323043,0.001574,0.0,1.0,-7.570029,no_go
60,120,2.0,30,75,1.2,1.2,20,off,2,1,9.323043,0.002929,0.0,1.0,-7.570029,no_go
60,120,2.5,30,75,1.0,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.0,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.0,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.0,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,0.8,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,0.8,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,1.2,10,off,1,1,9.323043,0.001574,0.0,1.0,-6.103076,no_go
60,120,2.5,30,75,1.2,1.2,20,off,1,1,9.323043,0.002929,0.0,1.0,-6.103076,no_go
60,120,2.5,35,75,1.0,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.0,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.0,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.0,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.2,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.2,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,35,75,1.2,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,35,75,1.2,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.0,0.8,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.0,0.8,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.559835,no_go
60,120,2.5,40,75,1.0,1.2,10,off,4,1,9.323043,0.001574,0.0,1.0,-11.617737,no_go
60,120,2.5,40,75,1.0,1.2,20,off,4,1,9.323043,0.002929,0.0,1.0,-11.617737,no_go
