spread_window,entry_zscore,exit_zscore,hold_bars,stop_zscore,use_trailing_stop,total_trades,net_return,mean_return,std_return,sharpe,win_rate,gate
50,2.0,0.0,100,5.0,False,171,-0.083803,-0.0004901,0.0034239,-9.5573,0.3392,no_go
20,3.0,0.0,100,4.0,False,72,-0.071335,-0.0009908,0.0036908,-11.6307,0.3472,no_go
20,3.0,0.0,100,5.0,False,72,-0.064433,-0.0008949,0.0032287,-12.0092,0.3472,no_go
360,2.5,0.0,100,5.0,False,90,-0.07184,-0.0007982,0.0029369,-13.1657,0.3222,no_go
20,3.0,0.0,50,4.0,False,82,-0.079439,-0.0009688,0.0030792,-14.5473,0.3659,no_go
20,3.0,0.0,100,3.0,False,81,-0.080137,-0.0009893,0.003063,-14.8436,0.3457,no_go
360,3.0,1.0,100,5.0,False,67,-0.063817,-0.0009525,0.002593,-15.3526,0.3134,no_go
20,3.0,0.0,50,5.0,False,82,-0.073743,-0.0008993,0.0026612,-15.6253,0.3659,no_go
360,3.0,0.5,50,5.0,False,70,-0.068647,-0.0009807,0.0025669,-16.3214,0.2857,no_go
360,3.0,0.0,50,5.0,False,70,-0.069016,-0.0009859,0.0025805,-16.3225,0.2714,no_go
360,3.0,1.0,50,5.0,False,70,-0.069839,-0.0009977,0.0025482,-16.7265,0.2857,no_go
20,3.0,0.0,100,4.0,True,82,-0.089853,-0.0010958,0.0030129,-16.8166,0.1829,no_go
360,3.0,0.0,100,5.0,False,66,-0.074091,-0.0011226,0.0027618,-16.8615,0.2424,no_go
360,2.5,0.5,100,5.0,False,95,-0.085792,-0.0009031,0.0026484,-16.9707,0.3474,no_go
360,3.0,0.5,100,5.0,False,67,-0.074511,-0.0011121,0.0027207,-17.0839,0.2537,no_go
20,3.0,0.0,50,3.0,False,89,-0.087873,-0.0009873,0.0027832,-17.0889,0.3483,no_go
360,2.5,1.0,100,5.0,False,97,-0.082654,-0.0008521,0.0024502,-17.4891,0.3402,no_go
200,3.0,0.0,50,5.0,False,91,-0.078948,-0.0008676,0.0024128,-17.5144,0.2857,no_go
50,3.0,0.0,100,5.0,False,97,-0.094449,-0.0009737,0.0027754,-17.6433,0.3093,no_go
360,3.0,0.5,100,5.0,True,79,-0.071697,-0.0009076,0.0023108,-17.8243,0.2152,no_go
