strategy,net_pnl,max_drawdown,fee_to_gross_profit,trades,beats_random,sharpe_ratio,win_rate,gate
vwap_reversion_baseline,-0.004046034073950655,-0.004046034073950655,4.86409206071397,3,True,-8.839602635302388,0.0,insufficient_data
vwap_rsi_markov_neutral,0.0,0.0,inf,0,True,0.0,0.0,insufficient_data
vwap_rsi_markov_contrarian,0.0,0.0,inf,0,True,0.0,0.0,insufficient_data
bollinger_vwap_no_shorts,-0.016712602376463104,-0.016712602376463104,138.31791304350233,8,True,-14.243112366891618,0.0,insufficient_data
bollinger_vwap_shorts,-0.22450533770443537,-0.22450533770443537,7.097145959474538,154,False,-59.01499535136245,0.01948051948051948,no_go
combo_fib_liquidity,-0.01315909855643227,-0.01315909855643227,7.6695863416792145,8,True,-13.854980659963623,0.0,insufficient_data
regime_gated_combo,-0.006511528069384487,-0.006511528069384487,inf,3,True,-8.785753119436748,0.0,insufficient_data
no_trade,0.0,0.0,inf,0,True,0.0,0.0,insufficient_data
buy_hold,-0.11701955361801697,-0.11701955361801697,inf,1,False,-5.106145499415723,0.0,insufficient_data
random_same_freq,-0.04506700351821724,-0.04506700351821724,6.480756505180222,29,False,-25.707194728788437,0.034482758620689655,no_go
naive_vwap,-0.9999999621665709,-0.9999999621665709,9.03520418405987,10049,False,-641.7352339373313,0.005373669021793213,no_go
